domain,instance,solver,time(s),memory(kB),identified as unsolvable,status
sync-impossible,instance_1_7-ground,POPF,,,false,137,|Warnings encountered when parsing Domain/Problem File ----------------------------------------------------- The supplied domain/problem file appear to violate part of the PDDL language specification. Specifically: Errors: 0, warnings: 27 ./ground-pddl-problems/sync-impossible/instance_1_7_domain.pddl: line: 28: Warning: Undeclared requirement :duration-inequalities ./ground-pddl-problems/sync-impossible/instance_1_7_domain.pddl: line: 29: Warning: Undeclared requirement :duration-inequalities ./ground-pddl-problems/sync-impossible/instance_1_7_domain.pddl: line: 56: Warning: Undeclared requirement :durative-actions ./ground-pddl-problems/sync-impossible/instance_1_7_domain.pddl: line: 61: Warning: Undeclared requirement :duration-inequalities ./ground-pddl-problems/sync-impossible/instance_1_7_domain.pddl: line: 62: Warning: Undeclared requirement :duration-inequalities ./ground-pddl-problems/sync-impossible/instance_1_7_domain.pddl: line: 87: Warning: Undeclared requirement :durative-actions ./ground-pddl-problems/sync-impossible/instance_1_7_domain.pddl: line: 92: Warning: Undeclared requirement :duration-inequalities ./ground-pddl-problems/sync-impossible/instance_1_7_domain.pddl: line: 93: Warning: Undeclared requirement :duration-inequalities ./ground-pddl-problems/sync-impossible/instance_1_7_domain.pddl: line: 103: Warning: Undeclared requirement :durative-actions ./ground-pddl-problems/sync-impossible/instance_1_7_domain.pddl: line: 108: Warning: Undeclared requirement :duration-inequalities ./ground-pddl-problems/sync-impossible/instance_1_7_domain.pddl: line: 109: Warning: Undeclared requirement :duration-inequalities ./ground-pddl-problems/sync-impossible/instance_1_7_domain.pddl: line: 119: Warning: Undeclared requirement :durative-actions ./ground-pddl-problems/sync-impossible/instance_1_7_domain.pddl: line: 124: Warning: Undeclared requirement :duration-inequalities ./ground-pddl-problems/sync-impossible/instance_1_7_domain.pddl: line: 125: Warning: Undeclared requirement :duration-inequalities ./ground-pddl-problems/sync-impossible/instance_1_7_domain.pddl: line: 135: Warning: Undeclared requirement :durative-actions ./ground-pddl-problems/sync-impossible/instance_1_7_domain.pddl: line: 140: Warning: Undeclared requirement :duration-inequalities ./ground-pddl-problems/sync-impossible/instance_1_7_domain.pddl: line: 141: Warning: Undeclared requirement :duration-inequalities ./ground-pddl-problems/sync-impossible/instance_1_7_domain.pddl: line: 151: Warning: Undeclared requirement :durative-actions ./ground-pddl-problems/sync-impossible/instance_1_7_domain.pddl: line: 156: Warning: Undeclared requirement :duration-inequalities ./ground-pddl-problems/sync-impossible/instance_1_7_domain.pddl: line: 157: Warning: Undeclared requirement :duration-inequalities ./ground-pddl-problems/sync-impossible/instance_1_7_domain.pddl: line: 167: Warning: Undeclared requirement :durative-actions ./ground-pddl-problems/sync-impossible/instance_1_7_domain.pddl: line: 172: Warning: Undeclared requirement :duration-inequalities ./ground-pddl-problems/sync-impossible/instance_1_7_domain.pddl: line: 173: Warning: Undeclared requirement :duration-inequalities ./ground-pddl-problems/sync-impossible/instance_1_7_domain.pddl: line: 183: Warning: Undeclared requirement :durative-actions ./ground-pddl-problems/sync-impossible/instance_1_7_domain.pddl: line: 188: Warning: Undeclared requirement :duration-inequalities ./ground-pddl-problems/sync-impossible/instance_1_7_domain.pddl: line: 189: Warning: Undeclared requirement :duration-inequalities ./ground-pddl-problems/sync-impossible/instance_1_7_domain.pddl: line: 199: Warning: Undeclared requirement :durative-actions The planner will continue, but you may wish to fix your files accordingly Number of literals: 18 Constructing lookup tables: Post filtering unreachable actions: [01;34mNo analytic limits found, not considering limit effects of goal-only operators[00m 77% of the ground temporal actions in this problem are compression-safe Initial heuristic = 11.000 b (10.000 | 4.000)b (9.000 | 40.001)b (8.000 | 81.002)b (7.000 | 100.003)b (6.000 | 136.004)b (5.000 | 142.005)b (4.000 | 167.006)b (3.000 | 175.007) Resorting to best-first search b (10.000 | 4.000)b (9.000 | 40.001)b (9.000 | 19.001)b (9.000 | 6.001)b (8.000 | 81.002)b (8.000 | 59.002)b (8.000 | 46.002)b (7.000 | 100.003)b (7.000 | 87.003)b (6.000 | 136.004)b (6.000 | 106.004)b (5.000 | 142.005)b (4.000 | 167.006)b (4.000 | 150.006)b (3.000 | 175.007)b (3.000 | 175.007)
Command exited with non-zero status 137
%%%137%766.23%35585584
sync-impossible,instance_1_7,nextflap,0.14,5104,true,okay,
domain,instance,solver,time(s),memory(kB),identified as unsolvable,status
domain,instance,solver,time(s),memory(kB),identified as unsolvable,status
domain,instance,solver,time(s),memory(kB),identified as unsolvable,status
sync-impossible,instance_1_8,tck-aLUcovreach,,,false,out of time,|
sync-impossible,instance_1_8,tck-covreach,,,false,out of time,|
sync-impossible,instance_1_8-ground,nuXmv,,,false,out of time,|
